Measure,Dependent Measure
a708b266-0973-42da-82ac-7ecc19ce745f,6e9becde-f287-43d5-9e6e-99450140fc48
e8098ad7-40f3-495e-8b45-c96e450735c6,6e9becde-f287-43d5-9e6e-99450140fc48
4851fd0e-1f23-45af-8b58-e77f46f0dbbc,0ab77a8e-be83-4828-a4e8-db326aec8fec
1f3cf91d-80d0-4376-8b44-b8e3229ff89b,0ab77a8e-be83-4828-a4e8-db326aec8fec
51a7b19a-9401-4ed3-a7f2-194934fbaf07,1f3cf91d-80d0-4376-8b44-b8e3229ff89b
6e9becde-f287-43d5-9e6e-99450140fc48,ecac1fbb-3a88-4113-9c46-7775a7dab850
e8098ad7-40f3-495e-8b45-c96e450735c6,ecac1fbb-3a88-4113-9c46-7775a7dab850
0ab77a8e-be83-4828-a4e8-db326aec8fec,9835d029-9ad2-4d62-a85b-24ca24de25c9
1f3cf91d-80d0-4376-8b44-b8e3229ff89b,9835d029-9ad2-4d62-a85b-24ca24de25c9
147d4faa-df3b-44c1-a276-a4748d0b12d2,66794334-6131-4137-b950-101a93bae45c
147d4faa-df3b-44c1-a276-a4748d0b12d2,e79c000d-ddae-4e7d-bf9d-76c440e925a3
66794334-6131-4137-b950-101a93bae45c,e79c000d-ddae-4e7d-bf9d-76c440e925a3
e79c000d-ddae-4e7d-bf9d-76c440e925a3,6a8bdd28-161e-41cf-84ff-1720bebdd88b
66794334-6131-4137-b950-101a93bae45c,6a8bdd28-161e-41cf-84ff-1720bebdd88b
147d4faa-df3b-44c1-a276-a4748d0b12d2,a26f2433-41c4-491d-ae44-3c6233536a90
147d4faa-df3b-44c1-a276-a4748d0b12d2,30f105c0-1e5d-4f70-9276-16f8f1ef28c5
a26f2433-41c4-491d-ae44-3c6233536a90,bc7b931f-9320-4aa2-b468-91cb2a25239c
30f105c0-1e5d-4f70-9276-16f8f1ef28c5,bc7b931f-9320-4aa2-b468-91cb2a25239c
bc7b931f-9320-4aa2-b468-91cb2a25239c,06aecb79-cd91-4beb-94e7-c09cf24b280f
30f105c0-1e5d-4f70-9276-16f8f1ef28c5,06aecb79-cd91-4beb-94e7-c09cf24b280f
44a01ab6-8f10-4b40-94de-25da9f1ffa42,e1509d01-cc35-4e66-b0b5-e2c5bb25ea8b
